10
Height [km], Scale height [cm], Temperature [K], Pressure [hPa], O2 [molecules / cm**3], N2 [molecules / cm**3], Air [molecules / cm**3], O [molecules / cm**3], O(1D) [molecules / cm**3], O3 [molecules / cm**3]
  97. 6.07e+05 199.5 3.24e-04 3.23e+12 1.20e+13 1.57e+13 3.26e+11 7.03e+02 5.59e+06
  98. 6.17e+05 202.7 2.75e-04 2.69e+12 1.00e+13 1.31e+13 3.24e+11 8.48e+02 3.65e+06
  99. 6.31e+05 206.0 2.37e-04 2.25e+12 8.40e+12 1.11e+13 3.22e+11 1.02e+03 2.40e+06
 100. 6.41e+05 209.2 2.02e-04 1.90e+12 7.05e+12 9.35e+12 3.20e+11 1.22e+03 1.58e+06
 101. 6.57e+05 213.5 1.72e-04 1.50e+12 5.91e+12 7.80e+12 3.15e+11 1.41e+03 1.05e+06
 102. 6.73e+05 217.9 1.47e-04 1.20e+12 4.96e+12 6.53e+12 3.10e+11 1.59e+03 7.00e+05
 103. 6.90e+05 222.2 1.28e-04 1.00e+12 4.19e+12 5.55e+12 3.05e+11 1.83e+03 4.50e+05
 104. 7.09e+05 226.6 1.10e-04 8.00e+11 3.55e+12 4.70e+12 3.00e+11 2.03e+03 3.00e+05
 105. 7.24e+05 230.9 9.58e-05 6.50e+11 3.03e+12 4.01e+12 2.90e+11 2.24e+03 2.00e+05
 106. 7.46e+05 237.1 8.49e-05 5.60e+11 2.59e+12 3.46e+12 2.80e+11 2.58e+03 1.40e+05
 107. 7.73e+05 243.3 7.53e-05 4.70e+11 2.22e+12 2.99e+12 2.70e+11 2.91e+03 9.00e+04
 108. 7.97e+05 249.5 6.69e-05 3.95e+11 1.92e+12 2.59e+12 2.55e+11 3.25e+03 7.00e+04
 109. 8.21e+05 255.7 5.98e-05 3.35e+11 1.66e+12 2.26e+12 2.45e+11 3.64e+03 4.20e+04
 110. 8.42e+05 261.9 5.34e-05 2.85e+11 1.44e+12 1.97e+12 2.30e+11 4.05e+03 2.70e+04
 111. 8.66e+05 268.1 4.77e-05 2.35e+11 1.26e+12 1.72e+12 2.10e+11 4.33e+03 1.80e+04
 112. 8.90e+05 274.3 4.26e-05 1.95e+11 1.10e+12 1.50e+12 1.92e+11 4.61e+03 1.20e+04
 113. 9.15e+05 280.6 3.80e-05 1.60e+11 9.63e+11 1.31e+12 1.76e+11 4.80e+03 8.00e+03
 114. 9.40e+05 286.8 3.38e-05 1.30e+11 8.45e+11 1.14e+12 1.62e+11 4.87e+03 6.00e+03
 115. 9.63e+05 293.0 3.06e-05 1.10e+11 7.41e+11 1.01e+12 1.49e+11 5.07e+03 4.00e+03
 116. 9.88e+05 299.2 2.73e-05 8.75e+10 6.52e+11 8.80e+11 1.36e+11 5.14e+03 2.70e+03
 117. 1.14e+06 305.4 2.46e-05 7.25e+10 5.75e+11 7.78e+11 1.26e+11 5.23e+03 1.80e+03
 118. 1.40e+06 311.6 2.22e-05 6.00e+10 5.08e+11 6.88e+11 1.17e+11 5.26e+03 1.10e+03
 119. 1.64e+06 317.8 2.01e-05 4.90e+10 4.50e+11 6.10e+11 1.08e+11 5.20e+03 9.00e+02
                                         

